n,average time
10.0, 195770.0
110.0, 117560.0
210.0, 171270.0
310.0, 200860.0
410.0, 188630.0
510.0, 302310.0
610.0, 336940.0
710.0, 399760.0
810.0, 415110.0
910.0, 544480.0
1010.0, 542070.0
1110.0, 770320.0
1210.0, 854820.0
1310.0, 690710.0
1410.0, 938810.0
1510.0, 1061240.0
1610.0, 892020.0
1710.0, 1072380.0
1810.0, 1182740.0
1910.0, 1322510.0
2010.0, 1276980.0
2110.0, 1496340.0
2210.0, 2095690.0
2310.0, 1692330.0
2410.0, 1603390.0
2510.0, 1680020.0
2610.0, 1760980.0
2710.0, 1938310.0
2810.0, 1932360.0
2910.0, 2401450.0
3010.0, 2267100.0
3110.0, 3738240.0
3210.0, 2722360.0
3310.0, 2620870.0
3410.0, 2941380.0
3510.0, 2622600.0
3610.0, 2606620.0
3710.0, 2488570.0
3810.0, 2486850.0
3910.0, 2476150.0
4010.0, 2454670.0
4110.0, 2421930.0
4210.0, 2799780.0
4310.0, 2907470.0
4410.0, 3040570.0
4510.0, 2983640.0
4610.0, 2937350.0
4710.0, 3200310.0
4810.0, 3399810.0
4910.0, 3232010.0
5010.0, 4232850.0
5110.0, 4849640.0
5210.0, 4443180.0
5310.0, 3507170.0
5410.0, 3586720.0
5510.0, 3577580.0
5610.0, 4046830.0
5710.0, 4894760.0
5810.0, 3673640.0
5910.0, 3615980.0
6010.0, 3600910.0
6110.0, 3535300.0
6210.0, 3763160.0
6310.0, 4058940.0
6410.0, 3663630.0
6510.0, 4686500.0
6610.0, 5200940.0
6710.0, 7611380.0
6810.0, 4511060.0
6910.0, 5316900.0
7010.0, 6014190.0
7110.0, 5417580.0
7210.0, 4754170.0
7310.0, 4623580.0
7410.0, 4660920.0
7510.0, 4605700.0
7610.0, 4947670.0
7710.0, 4854880.0
7810.0, 5093710.0
7910.0, 4974190.0
8010.0, 5028540.0
8110.0, 4921300.0
8210.0, 4994070.0
8310.0, 5308790.0
8410.0, 5195460.0
8510.0, 4978420.0
8610.0, 5212490.0
8710.0, 5602440.0
8810.0, 5640340.0
8910.0, 5758470.0
9010.0, 5592830.0
9110.0, 5591970.0
9210.0, 5469460.0
9310.0, 5793810.0
9410.0, 5985780.0
9510.0, 6183870.0
9610.0, 5908130.0
9710.0, 5970760.0
9810.0, 6716230.0
9910.0, 6491200.0
